id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,window_size,method_best,sub_method_best,outcomes
1518,vanHees 2011,2011,Sweden; United States of America; United Kingdom,Adults,74,74,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,LIS3LV02DL (STMicroelectronics),Triaxial ,±6g,n.r.,"40 Hz
",21-50 Hz,0,"40 Hz
",None,Butterworth bandpass (0.2 - 15 Hz) [fourth order],Band-pass,0.2,15,FIlter,Time-domain,1 sec,Linear / GLM,LinearRegression,Energy expenditure
2676,Wang 2016,2016,United States of America,Adults,152,79,n.r.,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,50 ms moving-average filter,Low-pass,n.r.,n.r.,None; Subtracting 1g from VM,Time-domain; Spatial,10 sec,Threshold / Cutpoint,Threshold,Energy expenditure
2884,Gifford 2021,2021,United Kingdom,Adults,47,47,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,75 Hz,51-80 Hz,0,75 Hz,Calibration mentioned (details n.r.),None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 min,Linear / GLM,LinearRegression,Energy expenditure
3389,Montoye 2015,2015,United States of America,Adults,39,20,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±6g,n.r.,20 Hz,1-20 Hz,0,20 Hz,None,None,None,n.a.,n.a.,None,Time-domain,1 sec,Deep Learning,ANN,Energy expenditure
3598,Sirichana 2017,2017,United States of America,Adults,20,10,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,40 Hz,21-50 Hz,0,40 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,60 sec,Linear / GLM,LinearRegression,Energy expenditure
3713,Kiuchi 2014,2014,Japan,Adults,6,0,Wheelchair users,n.r.,1,Custom,Custom,n.r.,Triaxial ,n.r.,n.r.,200 Hz,>100 Hz,0,200 Hz,None,Lowpass (5 Hz) [n.r.],Low-pass; High-pass,0.5,5,Filter,Time-domain,1 min,Linear / GLM,LinearRegression,Energy expenditure
5071,Huang 2024,2024,United States of America,Adults,7,0,Wheelchair users,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None; Subtracting 1g from VM,Time-domain; Frequency-domain,1 min,Classical ML,RandomForest,Energy expenditure
5335,Xu 2023,2023,China,Adults,100,50,Apparently healthy,n.r.,1,WT901SDCL (Shenzhen Weite Intelligent Technology Co.; Ltd),Shenzhen Weite Intelligent Technology,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,Kalman filter applied to raw axes (n.r. parameters),Low-pass,n.a.,n.r.,De-trend subtraction,Time-domain,60 sec,Deep Learning,ANN,Energy expenditure
5534,Ellingson 2017,2017,United States of America,Adults,51,22,Apparently healthy,n.r.,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,12 bit,100 Hz,81-100 Hz,0,100 Hz,None,None; Bandpass (0.24-2.5 Hz) [n.r.],None; Band-pass,2.5,0.24,Filter; Subtracting 1g from VM,Time-domain; Frequency-domain,15 sec,Linear / GLM,LinearRegression,Energy expenditure
5624,Montoye 2016,2016,United States of America,Adults,39,20,Apparently healthy,n.r.,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±6g,n.r.,20 Hz,1-20 Hz,0,20 Hz,None,None,None,,,,Time-domain,30 sec,Deep Learning,ANN,Energy expenditure
6693,Uphill 2024,2024,Australia,Adults,36,0,Apparently healthy,n.r.,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,,,,Time-domain,5 sec,Heuristic Rule,HeuristicRule,Energy expenditure
11378,Montoye 2017,2017,United States of America,Adults,22,10,Apparently healthy,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,60 Hz,51-80 Hz,0,60 Hz,None,None,None,n.a.,n.a.,None,Time-domain,30 sec,Deep Learning,ANN,Energy expenditure
11760,Montoye 2017,2017,United States of America,Adults,39,20,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,20 Hz,1-20 Hz,0,20 Hz,None,None,None,n.a.,n.a.,None,Time-domain,30 sec,Deep Learning,ANN,Energy expenditure
15839,Haapalainen 2008,2008,Finland,Adults,10,2,Apparently healthy,n.r.,1,Custom,Custom,n.r.,Biaxial ,±1.5g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Erroneous values outside ±1.5g replace by mean of signal,None,None,n.a.,n.a.,None,Time-domain; Temporal,15 sec,Non-linear / Mixed Statistical,MixedEffects,Energy expenditure
15949,Haapalainen 2008,2008,Finland,Adults,10,2,Apparently healthy,n.r.,1,Custom,Custom,n.r.,Biaxial ,±1.5g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Erroneous values outside 0-3 V replace by mean of signal,None,None,n.a.,n.a.,None,Time-domain; Temporal,15 sec,Non-linear / Mixed Statistical,MixedEffects,Energy expenditure
25995,Ingraham 2019,2019,United States of America,Adults,10,2,Apparently healthy,n.r.,1,E4 (Empatica),Empatica,n.r.,Triaxial ,n.r.,n.r.,32 Hz,21-50 Hz,0,32 Hz,None,1 minute Gaussian kernel filter (0.1 Hz),Low-pass,n.a.,0.1,None,Time-domain,n.r.,Linear / GLM,LinearRegression,Energy expenditure
26667,Hibbing 2023,2023,United States of America,Adults,24,14,Apparently healthy,n.r.,0,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Depends on method used,-,Non-linear / Mixed Statistical,Polynomial,Energy expenditure
35988,Song 2025,2025,China,Adults,19,n.r.,Apparently healthy,n.r.,1,"Digital posture sensor, Shenzhen WitMotion Technology Co., Ltd.",Shenzhen WitMotion Technology,n.r.,Triaxial ,n.r.,n.r.,10 Hz,1-20 Hz,0,10 Hz,"Missing values were handled using the Local Outlier Factor (LOF) method, and outliers were filtered using a Kalman filter.","Kalman filtering was applied, but cutoff frequency and order were n.r.",Low-pass,n.a.,n.r.,None,Time-domain; Frequency-domain; Other: Anthropometrics and physiology data,10 sec,Deep Learning,CNN_LSTM,Energy expenditure
